Premise 1,Premise 2,Syllogistic relation
Meats and dairy products are the main sources of protein.,Athletes consume significant amount of proteins on daily basis.,yes
Recreational fishing took a great leap forward after the English Civil War,"the great progressive jump,left its mark on the many books and treatises that were written on the subject at the time",yes
"I'll send a team after you, he said quickly.","The guidance of the team towards particular objectives ,will quicken the organizational function",no
Disruption of infrastructure can create a catastrophic collapse in the interrelated social structure. ,"During the war, foundations can be destroyed slowly. ",yes
River banks provide nutritious soil and fresh water.,This is a logical result if we consider the monophagy of this insect that lives on its own nutritious plant.,no
Sollozzo  attempted to assassinate Don Corleone.,"Attempt on murdering Don Corleone, made Michael get revenge.",yes
clean environment and air is a useful parameter to vent the stresses.,He was brought up in an unhealthy environment.,no
Asymmetric elements submerged in homogenous dark matter were once constituents of the solar nebula.,unbalanced elements submerged in the same dark matter were once constituents of the solar nebula.,no
Widespread mass famine made 8–10 million Iranians starve to death.,British presence in Iran during World War I brought widespread mass famine.,yes
self-employed workers are not covered by the OSHA act,"In the United States the Occupational Safety and Health Administration (OSHA) tries to prevent illness, injury and fire through regulations",yes
"Peanuts grow underground, where they tend to be colonized by an ubiquitous mold called Aspergillus, one of aflatoxin sources.","Some human studies have linked aflatoxin exposure to liver cancer, stunted growth in children and mental retardation.",yes
drones are controlled by human operators,Human operators are one of the biggest sources of errors in any complex system,yes
Going to the moon was one of the oldest dreams of human beings.,Neil Alden Armstrong was the first person who walk on the Moon.,yes
"when you buy organic food,money stays in the local economy",local ecomoney goes directly to the farmer,yes
Dependable information is gained through the deep and thorough analysis of the considered situation,"For the pear orchard a warm situation is very desirable, with a soil deep, substantial, and thoroughly drained.",no
Good work habits enable you to be more productive,Setting priorities and being proactive is associated with fine performance practices,yes
Consuming the Mediterranean diet helps keep your blood sugar levels even,"Wearing a sweater at home, using an extra blanket on the bed will help keep your consumption down and your bill as low as possible.",no
Low levels of blood sugar are beneficial for people at risk of diabetes,Patients at risk of diabetes should lower their levels of blood sugar.,no
physical inactivity can lead to significant bone loss.,Deficiency of bones can lead to fractures in bones and Osteoporosis. ,yes
people with a fear of dogs have cynophobia,the screenwriter created a character who has a fear of puppies,yes
Treaty of Torkamanchai stripped territories off from Iran.,Fath Ali Shah signed the disastrous Treaty of Torkamanchai.,yes
You are more prone to criminal activity if you are drunk.,When you're under the effect of alcohol you're more likely to commit crimes,no
Acupuncture is said to be the treatment used by Chinese people living almost five-thousand years ago in order to alleviate tooth pain.,She is an expert in China's five-thousand-year old culture and the Chinese language.,no
winning the award for her song was just reward for the effort that the artist has made.,The attempt of Song artist was responsible for development of high quality of porcelain ceramic.,no
Leaky decided to choose a person for her research who has lack of formal training.,Godall did't achieve any formal training and she worked as a secretary.,yes
Shortness of breath and heartburn are results of putting a burden on the lungs.,"when the baby is getting older and heavier, it puts more pressure on the pregnant mother's lungs.",yes
Family-friendly jobs usually have flexible working hours,Adjustable working hourse give you the time you need for setting your mind free,yes
"roads, and in some countries railways and airports are funded through taxation","train lines,roadways and airfields are all fundamental parts of public transportation",yes
Factories arose with the introduction of machinery during the Industrial Revolution,"The bourgeoisie machine, which was created by the Industrial Revolution, had money to spend and wanted to travel.",no
The sole purpose for any student to go for an online course is to help his family and still study to get a good job in the future.,"to decrease the time cost and commute student issues, many universities decided to offer online courses.",no
Deregulation in the financial industry was the main reason for 2008 financial crisis.,The 2008 financial crisis led millions of Americans to lose their homes to mortgage foreclosures.,yes
the earliest response to stress happens in the brain within seconds of perceived any kind of stressors. ,serotonin and adrenaline are two useful examples of stressors.,yes
"By the increase of population, we could sea extinction in coming years.",The increase in the number of women using various fertility treatments promoted the overpopulation.,yes
"When one knows the world, their life becomes much less cumbersome.",life gets much easier when one has knowledge about the world,no
the lack of access to reproduction areas is associated with the blocking of migration paths,dams keep many fish from moving upstream to their natural breeding grounds,yes
"If you let children know of the negative effects of breaking rules, they will probably quit their bad habits.",When children are aware of the impacts of breaking certain guidelines they tend to leave their bad habits,no
we are going to have an outdoor wedding ,"when an event is performed outdoor, it's performance is into the open air",yes
"Menthol cigarettes produce a cool feeling in the smokers throat, that make people to hold the smoke in their lungs longer than smokers of other products.",The cigarettes which make people to hold the smoke in their lungs longer than smokers of other products are more dangerous than other cigarettes.,yes
HEPA filters is the devices are designed to remove dangerous particles from the air.,The United States Federal Aviation Administration says most large passenger planes now use HEPA filters.,yes
 He was highly influenced by the dominating character of his professor.,The purpose of email subject lines; How many peoples are inactive and active.,no
Watching too much television can take up a large portion of your time,You'll become less patient in doing tasks when you don't have enough time,yes
Guilt increases pressure and can lead to depression,One who feels pressure out of remorse may finally get depressed.,no
Dogs are dependent animals.,Dependency of an animal makes it a reliable and obedient asset.,yes
"Maziar food products company increase the size of the lettering for the word ""organic"" when redesigning their packaging. ",It had been shown that consumers extremely favor organic products of all companies.,yes
When demand levels are high companies have to ramp up production,"The need to increase production, forces companies to hire more workers",yes
People who drink too many sugary beverages are likely to develop atherosclerosis.,Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,no
Being incapable of controlling feelings and thoughts could be made by something like a drop in blood sugar. ,not being able to control your emotions can interfere with your daily life.,yes
science and technology upsurge in a country results in fortified infrastructure and prosperity.,I work for a company called Orion Technology which tryies to enhance basic infrastructure and accelerate the science and prosperity in poor African co ntries,no
getting information into your machine is done by input gadgets.,mouse and keyboard are examples of devices that insert information on a computer.,yes
Defense Economics is a new branch of public economics that studies the management of ME during war and peace.,Tourist health is a new branch of public health,no
If we use up all our non-renewable resources we could run out of non-renewable resources,Non-renewable resources may be finished if human beings consume all these resources.,no
Germany awarded Beyonce several times.,Beyoncé has been awarded with Grammy several times.,no
Once that difference is grasped then we need to take into account the way the territorial church expands alongside the expansion of the empire.,creative services are expanding alongside the digital and sharing economies,no
Meats and dairy products are the main sources of protein.,The dairy product's trade is one of the major sources of income for Austraila.,no
"It is high in gingerol, a substance with powerful anti-inflammatory and antioxidant properties.","Ginger can treat many forms of Nausea, especially Morning Sickness.",yes
Common symptoms of diabetes are weight loss and fatigue and a low size pancreas .,One kind of weight loss surgery reduces the size of the stomach.,no
Study of acoustic and music in the physic library was considerably advanced by his investigation.,the study of the physics of acoustic instruments is Musical acoustics,no
"when coral reefs die, important marine life spawning and feeding grounds will be destroyed.","  When the ocean is extremely polluted, coral reefs recede.",yes
If a newspaper wants to publish photos of our students should first recieve allowance from the administration.,Copies of the student newspaper were confiscated by the administration.,no
"The only vamp that could change someone without them following the normal rite requiring human sacrifice, Xander had once created an army in months. ","Many of the new rules change to child safety in cars, window tinting, speeding, crowding around accident sites and failure to stop at a red signal.",no
"The long-term stress has severe effects on the heart, immune, and metabolic functions.",metabolic deficiency leads to both physical and mental diseases.,yes
Depression may result in low productivity.,low productivity can influence relationships and some chronic health conditions.,yes
air-source heat pumps are sensitive to excessive temperatures ,devices with excessive sensitivity to boiling or freezing temperatures are only really applicable in temperate climates,yes
Clean energies will help our environment.,Wind energy is a clean energy.,yes
lack of nourishment is a shortage of required nutritions of our body,"eating sugary foods fills us up, but may cause insufficiency of nourishment",yes
Reading stories to children opens them up to a variety of ideas.,In a wide range of ideas there are more vocabulary used.,yes
Narcissistic personality disorder involves a lack of empathy and consideration for other people,people who don't have understanding and concern for other people are described as selfish,yes
"In the summer, sunlight is at its fullest.",Sunlight is at its highest level in the summer,no
Astronuts have to stay in the circulating spaceship's closed space for months .,The temperature is risen by circulating the hot and cold air in the closed space.,no
Iran’s airline needs safer airplanes.,Most people immigrate just to have a safer and more comfortable for their families.,no
"last year happened so many bad accidents such as diseases, injury, and fire and no one prevented all of these.","In the United States the Occupational Safety and Health Administration (OSHA) tries to prevent illness, injury and fire through regulations",no
"When the body demand for insulin rises, it promotes more hunger within a shorter amount of time after the meal.",High-carbohydrate foods increase the body's demand for insulin.,yes
sea vegetables are particularly high in iodine,high levels of iodine are essential for optimal thyroid function,yes
"China, officially the People's Republic of China (PRC), is a country in East Asia",none of the Asian countries are top oil exporters.,yes
The earthquake destoyed the majority of the houses in the city.,"If there were no tectonic plates, there would be no earthquakes.",no
We are more likely to get angry in dangerous situations,"When stressed, we are more likely to perceive a situation as threatening",yes
Large wealth gaps can be associated with social conflicts,Social unrests create higher security costs for the government,yes
Tropic islands benefit from the relatively high temperature and ample supply of water.,Areas with suitable weather and convenient water sources have large mass of vegetation.,yes
entering the credit card data into the system can make the risk of fraud like credit card scams larger,"This perspective demonstrates that we are embedded in a larger system, and unless we realize it, and act accordingly, we are likely to be the victim of it.",no
those who want to have fun in the sunlight are on vacation,the man wants to have fun in the sun,yes
Healthy soft tissues and the control of saliva flow are essential for a successful impression.,Shahrzad Restaurant is an excellent place to impress your date.,no
Graphite is difficult to burn and is not so commonly used as fuel,"graphite is still used in pencils, mixed with clay",yes
"Tofu doesn't have much taste, but easily absorbs the flavor of the ingredients it's prepared with. ","Salt, pepper, herbs, spices, oils, and vinegars are added to other foods to enhance their flavor and smell.",yes
Salivary amylase or ptyalin digests starch into a sugar called maltose.,Saliva contains an enzyme called salivary amylase or ptyalin.,yes
"Enterprise architecture applies architecture principles and practices to guide organizations through the business, information, process, and technology changes necessary to execute their strategies","Enterprise architecture is a practice for conducting enterprise analysis, design, planning, and implementation, using a holistic approach at all times, for the successful development and execution of strategy",yes
Going to northern road is commonly preferred through Chalus road.,Most of the residents of Tehran travel to northern part of the country.,yes
standing up for yourself can help you fight depression.,One of the ways to battle depression is to defend your own rights.,no
"Sugar, when consumed in large amounts, can drive insulin resistance in the body.",Insulin resistance is strongly linked to non-alcoholic fatty liver disease.,yes
More gray cells in your brain mean that you're less likely to suffer from Alzheimer’s,The risk of developing Alzheimer’s becomes lower if you have more gray cells in your brain.,no
working at a young age deprives kids of their childhood ,Poverty and lack of schools are considered the primary cause of child labour.,yes
Having a universal language can  help people in the world with a clear understanding of each other.,Music is a universal language.,yes
A peak flow meter measures the amount of air patient is able to push out of his lungs that can help him realize he is having a problem before he feels it.,She advised David's parents to use a special device called a peak flow meter.,yes
Most bankrupt companies do not have goals,Leaders who lack vision fail to set priorities for their firm,yes
Prudent spending will help you to keep more of your hard earned cash,"In order to keep the hard-earned money, one should spend money wisely.",no
Being polite is one of the most prominent features of a gentleman.,"Most of these comments were made for Ayder, which is the most touristic plateau in the Kackar Mountains National Park.",no
They found that a long fermentation followed by roasting at a moderate temperature creates an aroma closest to chocolate in the seeds.,Fermentation is a metabolic process that produces chemical changes in organic substrates through the action of enzymes.,yes
life gets much easier when one has knowledge about the world,education gives us knowledge of the world around us,yes
Sodium rich juices and fluids help to restore the amount of electrolyte.,Organic cold pressed juice helps restore your pH balance.,no
William Henry Avery was an American Republican Party politician.,Republican Party members in US are aligned with more brutal approach in international politics.,yes
The person loses large amounts of body water and salt in perspiration,Perspiration is one of the body’s defenses against heat.,yes
every country is represented by a it's national animal,bald eagle represented U.S as a country,yes
"Family, friends, media, and other sources in society all play significant roles in the basic values that are acquired in the early years of one’s life.","Most of the basic values are learnt early in life from family, friends, media and other sources within  society.",no
Both old age and HIV can lead to reduction in muscle mass,"A reduction in muscle mass, and strength increases the risk of developing mobility restrictions",yes
"The grey matter includes regions of the brain involved in sensory perception such as seeing and hearing, memory, emotions.",Many females tend to have a higher ratio of gray matter in the left hemisphere of the brain in comparison to males.,yes
Fasting is known to prevent high levels of inflammation,Chronic inflammation may be involved in the development of chronic conditions,yes
If somebody tends to lose weight they should increase the number of calories burned.,Lifting increases the number of calories you burn.,yes
Photographers can fluidly move the sharp area around the photo by bending the flexible lens tubing.,Travelling by car gives you the possibility to snap photos while on the move,no
Reading aloud to students can demonstrate teachers own think-aloud or interactive elements.,Showing teachers own think-aloud or interactive elements can push students for deeper thought around a big idea.,yes
The strength of acids and bases is measured by using a scale known as PH,PH is measured with paper strips that have color indicators,yes
Most U.S. Teens See Anxiety and Depression as a Major Problem Among Their Peers,I’d like to address an issue that I see as a major problem among self-coached and competitive athletes as they create their new annual training plan.,no
vapors with a breaking point below normal temperatures can exist in equilibrium with their bulk liquid at a pressure that is higher than atmospheric pressure,"Usually, the gas in aerosol sprays is the vapor of a liquid with boiling point slightly lower than room temperature",yes
"When the brain was the primary tool, people used only their memory to call to mind birthdays, names, phone numbers, addresses, and important dates.",Just a couple of generations age the brain was the primary tool,yes
The renowned Iranian gourmets are popular among foreign people.,Ghormeh Sabzi is the most famous Iranian cuisine.,yes
By technology enhancement companies are hiring few people to operate the machine., due to the advanced technology only one person can do many people’s work.,yes
Safety levels are decreased when people take actions that put themselves and others in danger,Higher rates of criminal activity might lead to people taking dangerous actions by themselves,yes
"Obtaining worthy data about the purpose market, is the first step in setting up a successful marketing strategy",With Taking some time to analyze your competitors you will gain valuable information about who they view as their target market,yes
Plants can't get the nutrition from the soil in which they grow if it is a poor soil.,Hair follicles may stop growing because of poor diet.,no
Destabilization of Communist control contributed to the collapse of the Soviet Union.,Allowing elections with a multi-party system eventually destabilized Communist control in Soviet Union.,yes
Appropriately instructed workers are able to control their temper and keep their heads straight if they're yelled on,It is best to ensure that you employ properly trained staff in your hotel,yes
You'll become less patient in doing tasks when you don't have enough time,"When people face a lack of time, they usually do their tasks hastier.",no
Unshielded exposure to sun rays is the cause of many skin disorders.,Many of skin disorders happen after direct exposure to sunrays,no
What is the most powerful animal on earth?,Iran's military is ranked as the 14th most powerful armed forces in the world.,no
"There is reduced demand for operating space, which leaves more of the total space free for short-term storage.","Traditionally, startups and smaller businesses hire freelancers for short-term",no
Inadequate access to clean water and nutritious food is among major causes if poverty.,Illegal immigration may be caused by a number of factors including poverty. ,yes
The criminal has been sent to the county seat under gaurd.,The county seat of Cook County is Chicago.,no
"Most sources state that there are over 650 named skeletal muscles in the human body, although some figures go up to as many as 840.","Every year, millions of tourists from all over the world travel to Europe.",no
Luteinizing hormone is a kind pf hormone which trigger the egg’s release.,"Once the egg is mature, your body releases a surge of luteinizing hormone",yes
Vitamin A can help body's natural defense against illness. ,Cheese is great source of vitamin A.,yes
Actually being happy contributes to the happiness of those around you.,Being frightened of loneliness contributes to intense paranoia.,no
"Researches has shown that when you are watching TV, your higher brain regions shut down and activities shift to the lower brain regions.","When activities shift to the lower brain regions, the higher brain regions experience atrophy due to lack of usage.",yes
western borders of the global mainlands are regions where cold currents approach the land or cold water upwellings rise from the ocean depths,Coastal deserts are mostly found on the western edges of continental land masses,yes
Recycling is considered one of the best solutions for stoping garbage generation.,smaller amount of trash production can help in environment protecting,yes
Every job has one of the advantages.,Creating a job is one of the advantages of an extension of commerce. ,no
Criticizing the catholic church ended in Protestant Reformation.,She ended to criticize and went to the church.,no
The prominint role of tech in our lives is unevitable.,The king liked potray himself as role model for working people.,no
Bananas are fairly rich in fiber and resistant starch.,Eating more fiber repeatedly been linked to lower body weight and weight loss.,yes
Regular exposure to unfavorable behaviour can lead to violence,Violence is caused as a result of being commonly exposed to negative conduct.,no
"We are interested in the question, how the plant can respond appropriately to different challenges.",Smart and brilliant people at emotions recognition can respond appropriately to different situations.,no
Successful restaurants consistently serve fresh food that is exactly as described on the menu,Customers will usually return to have more if you set out fresh meals in accordance with the menu,yes
"Architectural phenomenology is a movement within architecture that began in the 1950s, reaching a wide audience in the late 1970s and 1980s, and continuing until today",The movement toward greater freedom of the press is a new phenomenology that let audience enjoy news without censorship .,no
Mass tourism is an important factor contributing to global greenhouse gas emissions,Millions of people travel to different parts of the world during the summer holidays,yes
People with an addiction to the drug or drinking have a higher possibility of violence and breaking law. ,Patients with Circadian rhythm disturbances often misuse alcohol.,yes
"In 1839, German physicist and meteorologist, Heinrich Wilhelm Dove, unveiled a remarkable phenomenon known as binaural beats.","Binaural beat is the space the brain attempts to correct the difference, between the two frequencies being heard.",yes
having a good connection with technology can improve your math-teaching skills,teachers have a better connection with software technology nowadays,yes
"Individuals diagnosed with ASD could be incapable of making and maintaining eye contact, or keeping their focus on specific tasks.",Being incapable of controlling feelings and thoughts could be made by something like a drop in blood sugar.,no
 tiny plastics can penetrate cells,Everything that can enter cells can move into tissues and organs. ,yes
The sugar released from the fruit cells in the process of juicing turns into free sugars.,I was eating fruit and drinking juice and thinking about how juicing process work?,no
"Bananas are mainly rich in two types of fiber, Pectin and Resistant starch.",Bananas for exports are produced mainly in the provinces of Los Rios and El Oro.,no
having less social contacts can lead to isolation,Children whose family is going through divorce may experience a harder time relating to others,yes
our neighbours's house has burned because of an electrical fault,A flaw related to electricity caused the house next door to be set on fire.,no
Daffodil appears in early spring when buds are opening up and signifies the renewal of life.,Anything that appears in early spring when buds are opening up and signifies the renewal of life could be a lovely symbol of hope for cancer patients.,yes
A contact with large glacial resulted in sinking of Titanic.,Biogas can be used instead of chemical fuels for producing energy .,no
Legend of Zelda is highly admired by Japanese players.,Nintendo is the publisher of “Legend of Zelda”.,yes
Common natural hazards include flooding and tropical cyclones,"In this way the surface of the land is divided into numerous natural regions, the flora and fauna of each of which include some distinctive species not shared by the others.",no
"If you pay a regular amount each month, goods will cost you more.",The prices of goods are likely to be higher when you have to pay a regular amount every month,no
"Low serotonin levels are often attributed to anxiety, depression, panic attacks, insomnia, obesity, fibromyalgia, eating disorders, chronic pain, migraines, and alcohol abuse.",Hormone changes cause low levels of serotonin .,yes
"Before food enters the esophagus, radula cuts the food.",The radula is used to rasp or cut food before it enters the esophagus.,no
Income inequality increases the distance between you and other members of your society,Societal alienation makes you less likely to build relationships,yes
"Tension headaches are dull pain, tightness, or pressure around your head and neck.",Pain and tension around your head and neck is known as tension headaches,no
The increased accessibility of food worldwide means each food item is potentially in-season throughout the year,more foods are available to us from all over the world thanks to improvements in the factory farming process,yes
Combining water with a cementitious material forms a cement paste by the process of hydration,"The cement paste glues the aggregate together, fills voids within it, and sets it up to flow more freely",yes
Every well-organized system must have a creator.,The world is an organized system.,yes
overuse of onion might increase the risk of bleeding.,Exposure to chronic noise might increase the risk of Alzheimer's disease.,no
"If you try to get more than you need, you are bound to think you have insomnia.",If you try not to “catch” someone’s yawn your brain gets more alert.,no
people who are physically inactive may Gain weight   ,The third reason people are physically inactive is because they feel there is a lack of options for physical activity.,no
Side effects of overeating onion might include stomach distress ,pain in the abdomen can contribute to nausea  ,yes
"customary watercrafts,are powered only by sail and oars","At the other extreme, two-thirds of the undecked boats are traditional craft of various types",yes
The asteroid impact made a huge explosion.,A huge explosion wiped dinosaurs off the earth.,yes
Wasted tree logs reduce the efficiency of limber production.,limber production quality will be decreased by using wasted tree logs,no
Car-compatible Calibrated Jet motors made a huge impact in fuel combustion,Mazda re-designed the Jet engine for its cars.,yes
Birth of Office program assisted users on pursuing their tasks with remarkably high comfort.,Microsoft introduced Office program for Windows users.,yes
where bands of different kinds of rocks move parallel to the shore in a coastile is a concordant coastline,The road parallelly zigzags along a rocky coastline.,no
  Car accidents can lead to not only our death but also our friends sitting next to us. ,losing a loved one can contribute to post-traumatic stress. ,yes
People with weakened understanding and sense are not able to quickly react in certain driving situations.  ,But in the last week they've proved that they don't understand the situation at all.,no
Releasing of poisonous chemicals can lead to environmental pollution.,Burning of plastic in the open air release of poisonous chemicals.,yes
greenhouse gases can lead to climate change.,weather variation is a serious problem for the earth and every living being.,yes
Polluted air can cause difficulty breathing.,"difficulty breathing can cause nasal congestion, runny nose, itchy or watery eyes, chest congestion, cough, wheezing, labored breathing, and shallow breathing.",yes
"Associated Health Education (AHE) includes all health professions with the exception of Medicine, Dentistry, and Nursing.","MBVA is an association, which is built with the strengths and enthusiasm of sincere and focused members with vivid expertise and ideas.",no
Water vapor freezes into ice crystals in cold clouds.,Ice crystals turn into snowflakes and form snow.,yes
"materials used to solidify the concrete,are calcium chloride, calcium nitrate and sodium nitrate",Accelerators speed up the hydration (hardening) of the concrete,yes
the ozone absorbs biologically harmful ultraviolet (UV) radiation coming from the sun,"Sometimes these cats come from several different areas or shelters, which contributes to the introduction of harmful diseases.",no
foods rich in flavonoids can reduce your risk for cancer and heart disease.,Apples and green tea contain much amount of flavonoids.,yes
Turning trees to charcoals could be a reason for loss of forest area.,Tree-cutting could cause the climate to be dried in that area.,yes
One of my memorable experiences was when i went joggin in the city in a cold day in winter.,Highly elevated cities experience cold winters.,no
 Watermelon is one of the most hydrating foods you can eat.,"Dehydration is a common cause of constipation, and drinking plenty of water can often help to ease or resolve the symptoms.",yes
ozone layer exhaustion changes the ecosystem.,CFC gas emmission can deplete ozon layer.,yes
Guides who are enrolled from their native region are able to provide up-to-date factual information and answer any questions that you have about the site/attraction,Tour guides normally are recruited from within the local community,yes
Almond is a reliable source of Keratin.,The almond trees were withered because the main water resource was polluted.,no
"authorizing the generation of the early steam boilers,gave rise to the pace of technological development",In return for publicly revealing the workings of an invention the patent system allowed the monopolization of the production of the first steam engines,yes
"Falling can lead to skeletal damage at the wrist, spine, hip, knee, foot, and ankle. ",alveolusmental and clinical studies in the 80's confirmed that high peak airway pressures in ventilated alveoli lead to further lung damage.,no
Some bat species feed on blood.,In many cultures animals which feeds on blood are symbols of death and darkness.,yes
Rheumatoid arthritis is an autoimmune disease characterized by deformed and painful joints.," olive and fish oil significantly improved handgrip strength, joint pain and morning stiffness. ",yes
Immobility is the core reason most of us suffer from musculoskeletal diseases,A large percentage of americans do not participate in regular exercise,yes
"you will not repeat your mistakes, when you find out about them","If you realize your mistakes, you won’t make them again.",no
Trying to do much by yourself will set you up for burnout,You cannot do everything by yourself or you’ll be burned-out.,no
Small business owners perform several tasks that can take up time on their daily schedule,You can’t give enough attention to important aspects when you are multitasking,yes
hereditary harm is associated with problem such as skin cancer,Such subjects are very likely to suffer considerable mental and physical harm in the hands of enthusiastic amateur hypnotists.,no
Education changes the lives of millions of people around the world,Millions of people around the world can live a different life through education.,no
Most of the liquid in different layers of the skin is provided by drinking water,water on the outer layer of the skin evaporates and cools the body,yes
"Foods that contain gluten are bread and bread crumbs, wheat berries, wheat tortillas, pastries, muffins, cookies, cakes, and pies with wheat crust, wheat-based pastas, wheat-based crackers, cereals that contain wheat, beer, soy sauce.","If you’ve been diagnosed with celiac disease, you’ll need to avoid all foods that contain gluten.",yes
 People enjoy walking on dried plants on the street.,Dehydrated leaves fall on the ground in autumn. ,yes
"people who are mobile-addicted, tend to feel uncomfortable in face-to-face communication.",In cases of excessive technology use there is a possibility of becoming addicted to the phone and social media.,yes
"Being the target of racist acts, or even just seeing or hearing about them, can cause unhealthy levels of stress in children and adolescents.",Unhealthy levels of stress in children and adolescents can make them feel unsafely in society.,yes
Facial recognition is an innate ability one is born with.,Infants can distinguish faces from other images just hours after birth.,yes
Conscientious people achieve more in school and job.,"As more and more people achieve higher educational status, America seems to be getting less intelligent.",no
E-waste contains many parts that can and should be recycled so that the resources can be used again.,Olive oil contains many nutrients that can inhibit or kill harmful bacteria.,no
"Working hard increases lung capacity, and their efficiency in moving air in and out of the body.",Lungs draw oxygen into the body and expel carbon dioxide and other waste gases.,yes
low moods are responsible for weak work performances,discrimination at workplace results in frostration and disappointment,yes
Wood is consisted of parallel fibers oriented in same direction.,Straight and alongside fibers resist noticeable tensile stresses.,yes
"lara spend all of her money to visit Pari, on of the most beutiful city in the world, that has a strong economic.",One of the most cited economic impacts of the fatness is direct medical spending.,no
Deforestation is rising the amount of CO2.,In order to create nitrogen carbonate we should consume a certain amount of CO2.,no
The respiratory system can be depressed by a high inhalation of chloroform.,"At high concentrations, inhalation of chloroform can depress the respiratory system so much",no
" With a reduction in social diversity, the strength of the identity of individuals and societies may begin to weaken.",Globalization is often said to have a negative effect on the world's cultural variety.  ,yes
The larger molecules we eat in the form of food are broken down by digestion into the smaller biomolecules.,Spiders eat almost 800 million tons of meat in the form of bugs and tiny animals.,no
"Cognitive tools can help us as learners organize, restructure, and represent what we know","Interactive multimedia for education includes a variety of technologies, including simulations, games, hypertext, cognitive tools, tests, drills, and web learning",yes
Research has shown that choosing low-GI foods can particularly help manage glucose levels in people with Type 2 diabetes.,"Research suggests that this Ayurvedic herb, also called holy basil, may help manage levels of the stress hormone cortisol, helping to boost your mood.",no
What is your understanding of analysis and synthesis in design?,Workflows can be analyzed and synthesized through scientific management.,no
"the inclusion and development of reclaimed materials,produces a more sustainable construction material",Green cement is a cementitious material that meets or exceeds the functional performance capabilities of ordinary Portland cement by incorporating and optimizing recycled materials,yes
A region impacted by acid mine drainage often has a decline in valued recreational fish species.,"Alcohol-induced neurological criteria would lead to different rates of diagnosis and subsequent decline, stability, or inversion.",no
Future research will reveal ultimately if indeed such approaches offer a viable method for assessing the cognitive abilities and processes of diverse individuals.,exergames offer a viable method to strengthen balance in elderly,no
Overweight of snow on the steeps in Alaska created avalanche.,Heavy snowing in Alaska resulted in accumulation of snow on the steeps.,yes
The Depletion of municipal landscapes negatively influences liveability,"Subsequent to urban sprawl, haphazard growth will see the reduction of green spaces within cities",yes
fish is great source of vitamin B3.,"Broccoli is a great source of vitamins K and C, a good source of folate (folic acid).",no
cinéma vérité allows the picture to look like an actual documentary,The documentary went through all the picture details of the operation and actual graph in unsparing detail.,no
R. Plaga says that this level of technology is enough to realize the proposed inter-world communication experiment,the attitude “current levels of technology are already sufficient” is an obstacle,yes
Children learn better when they're made to think about divergent ideas,The best disparate ideas often come from diverse classrooms,yes
to become sucessful in business you need to have excellent negotiation skills,having high concentration is very important in winning negotiations,yes
It is easier to relax and enjoy your road trip when you're able to bring whatever you think is required with yourself,"She wasn't the kind who sat around waiting to die, not when she wanted so badly to enjoy every day until she was no longer able to.",no
"the line where soil is joined with water,forms the boundary between the land and the ocean or a lake",the coast is the area where land meets the sea or ocean,yes
To host Olympic Games a country should have developed infrastructure.,It is interesting that the caribou roaming over the relatively flat country should have developed a wonderful sense of smell.,no
High rate of unemployment can arise a social crisis.,Long-term automation results in Technological unemployment by turning labour tasks into machine tasks.,yes
Long-term preparations and fundings can revitalise depressed cities,Hosting international events will bring about several years of planning and investment,yes
In various parts of the world the number of cut down trees increases each year.,The increase in the number of newspaper articles exposed as fabrications serves to bolster the contention that publishers are more interested in boosting circulation.,no
Sleep deprivation can also result in an increased risk of new and advanced respiratory illnesses.,"Stressful life situations during pregnancy (e.g., marital discord) can also result in an increased risk of birth anomalies.",no
Improved transport links from ports to land routes and airports will make previously unknown destinations more accessible to international tourists,there’s plenty of unknown destinations that offer exciting possibilities for all sorts of adventures and antics,yes
For thousands of years humans has been using his environment' resources to provide food for themselves.,Bilateral destruction leads to complete deafness. ,no
vertical farming technologies uses a smaller unit area of land requirement,Limited field usage for farming is less disruptive to native plants and animals. ,yes
"There will be a decline in full-time work, with more people doing more than one job.","if employees do not make a point to satisfy the customer, there will be a decline in sales",no
Promoting a special sale has been made very easy through marketing,Recommending exceptional deals has been known to positively impact the profit of a business,yes
kids that complete their home chores right and on time are good kids to their parents,My nephew always complete his home chores on time,yes
The ability to creatively solve problems gives you a great advantage in the workforce,Solving Puzzles help us develop problem solving skills,yes
extra lines bear more traffic resulting in bigger amount of pollution,"Adding more lanes results in higher amount of traffic, which will add to the rate of pollution.",no
Ginger has phenolic compounds.,Marty has a pretty face compound and his hair is a bright shade of ginger.,no
Philadelphia became the central meeting place for who created the United States government.,"Annually an estimate of 135,000 new jobs are being created in The United States by non govermental companies.",no
in 2008 we bought a car at the end of the year,you could expect affording to buy a car when you save money for a year,yes
poisoned animals pose great danger to the wildlife,The wildlife is seriously jeopardized when the animals are in contact with toxins.,no
The lack of vegetation exposes the unprotected surface of the ground to the processes of denudation,denudation brings about a reduction in elevation and in relief of landforms and of landscapes,yes
A lot of condensation is always associated with a lot of moisture,Mold spores have the potential to grow in places with built up humidity,yes
Holding on to things can be really hard.,"Parenting can be really hard and it's easy to feel isolated, especially if you're a stay-at-home parent.",no
Copper helps with producing red and white blood cells.,Nuts oats are a great source of copper,yes
"The common cold can lead to body aches, even high fever.",Modified insulin allergy can lead to higher body mass. ,no
